id	wijk_name	pop
F11	Bedrijventerrein Sloterdijk	106
N72	Noordelijke IJ-oevers-Oost	164
B10	Westelijk Havengebied	200
T92	Amstel III/Bullewijk	438
E36	Sloterdijk	515
F80	Lutkemeer/Ookmeer	850
E12	Houthavens	1044
M34	Zeeburgereiland/Nieuwe diep	1204
K59	Prinses Irenebuurt e,o,	1318
T98	Driemond	1479
N64	Nieuwendammerdijk/Buiksloterdijk	1690
N71	Noordelijke IJ-oevers-West	1692
N63	Tuindorp Buiksloot	1866
E22	Vondelbuurt	1868
N73	Waterland	2211
K23	Zuidas	2256
F79	Eendracht	2392
N74	Elzenhagen	2452
E15	Centrale Markt	2501
T95	Nellestein	3012
N67	Kadoelen	3036
M57	Betondorp	3215
N62	Tuindorp Nieuwendam	3520
K45	Schinkelbuurt	3844
M58	Omval/Overamstel	3923
A01	Burgwallen-Nieuwe Zijde	3981
A00	Burgwallen-Oude Zijde	4290
E17	Da Costabuurt	4688
M27	Weesperzijde	5225
K53	IJselbuurt	5360
A03	Grachtengordel-Zuid	5455
K46	Willemspark	5647
E38	Erasmuspark	5891
F83	De Punt	5897
E75	Chassébuurt	6246
E18	Kinkerbuurt	6358
A02	Grachtengordel-West	6483
E40	Geuzenbuurt	6840
E43	Westindische Buurt	6938
E41	Van Galenbuurt	6992
M51	IJburg-Zuid	7009
E19	Van Lennepbuurt	7078
A07	De Weteringschans	7352
E20	Helmersbuurt	7506
K91	Buitenveldert-Oost	7660
E21	Overtoomse Sluis	7788
F87	Westlandgracht	7837
A08	Weesperbuurt/Plantage	7943
F85	Slotervaart-Noord	7990
N61	IJplein/Vogelbuurt	8246
K26	Zuid-Pijp	8276
E16	Frederik Hendrikbuurt	8496
K49	Apollobuurt	8764
N66	Oostzanerwerf	8764
K54	Rijnbuurt	9128
M29	Dapperbuurt	9255
A05	Haarlemmerbuurt	9314
M30	Transvaalbuurt	9426
F76	Slotermeer-Noordoost	9474
E39	De Kolenkit	9577
A04	Nieuwmarkt/Lastage	9618
N60	Volewijck	9655
F89	Slotervaart-Zuid	9666
M32	Indische Buurt-Oost	10379
E42	Hoofdweg e.o.	10481
E13	Spaarndammer- en Zeeheldenbuurt	10888
N69	Buikslotermeer	10956
M28	Oosterparkbuurt	10957
M55	Frankendael	11004
N65	Tuindorp Oostzaan	11168
T97	Gein	11567
K48	Stadionbuurt	11646
K44	Hoofddorppleinbuurt	11767
F86	Overtoomse Veld	12139
K25	Nieuwe Pijp	12406
M31	Indische Buurt-West	12590
A09	Oostelijke Eilanden/Kadijken	12655
K90	Buitenveldert-West	12697
K47	Museumkwartier	12866
E14	Staatsliedenbuurt	13187
N68	Waterlandpleinbuurt	13311
F88	Sloter-/Riekerpolder	13977
N70	Banne Buiksloot	14186
M35	IJburg-West	14431
F84	Middelveldsche Akerpolder	14488
K52	Scheldebuurt	14752
K24	Oude Pijp	14871
M56	Middenmeer	15308
F78	Geuzenveld	15478
F82	Osdorp-Midden	15883
F81	Osdorp-Oost	15930
F77	Slotermeer-Zuidwest	17290
T96	Holendrecht/Reigersbos	18320
M33	Oostelijk Havengebied	18495
E37	Landlust	19082
A06	Jordaan	19408
T93	Bijlmer-Centrum (D,F,H)	23981
T94	Bijlmer-Oost (E,G,K)	27260
M50	IJburg-Oost	
Z99	buiten beschouwing	